NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month
2973452,2022-04-04,2022-04-04,12:26:30,12:28:00,3750.0,2500000.0,"1,500",153.4,155.9,A,50,A50,descending,Valburg,Tacitusbrug,Arnhem,Oss,traffic jam outside rush hour (no cause reported),VWM 2,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973454,2022-04-04,2022-04-04,12:28:30,12:41:14,32985.0,2590000.0,"12,733",154.3,156.4,A,50,A50,descending,Heteren,Valburg,Arnhem,Oss,accident (len),VWM 4,Accidents,Accident,Accident,Accident,1
2975144,2022-04-05,2022-04-05,08:39:32,08:46:02,19123.0,2942000.0,"6,500",159.7,157.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975061,2022-04-05,2022-04-05,08:29:31,08:32:02,9067.0,3603000.0,"2,517",159.6,156.1,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975299,2022-04-05,2022-04-05,08:56:31,09:03:00,17900.0,2761000.0,"6,483",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974771,2022-04-05,2022-04-05,07:56:31,09:24:00,525217.0,6004000.0,"87,483",159.6,156.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 87,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974944,2022-04-05,2022-04-05,08:16:31,08:18:00,3115.0,2100000.0,"1,483",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972970,2022-04-04,2022-04-04,08:10:30,08:15:02,13507.0,2979000.0,"4,533",159.6,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975214,2022-04-05,2022-04-05,08:47:32,08:52:00,9467.0,2119000.0,"4,467",159.7,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973501,2022-04-04,2022-04-04,13:46:30,15:09:59,383553.0,4594000.0,"83,483",153.4,155.6,A,50,A50,descending,Valburg,Tacitusbrug,Arnhem,Oss,accident (len),VWM 8,Accidents,Accident,Accident,Accident,1
