NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month,route
2973329,2022-04-04,2022-04-04,09:16:31,09:18:00,2967.0,2000000.0,"1,483",164.3,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2973928,2022-04-04,2022-04-04,16:56:32,16:59:01,5640.0,2271000.0,"2,483",177.4,175.2,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974368,2022-04-04,2022-04-04,18:05:32,18:12:00,16075.0,2486000.0,"6,467",163.0,160.5,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 6,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974493,2022-04-05,2022-04-05,06:50:26,06:52:00,3133.0,2000000.0,"1,567",164.6,162.6,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974605,2022-04-05,2022-04-05,07:30:29,08:45:03,484687.0,6500000.0,"74,567",181.3,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 75,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2975958,2022-04-05,2022-04-05,16:45:32,16:47:00,3080.0,2100000.0,"1,467",158.4,156.3,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972109,2022-04-01,2022-04-01,17:03:33,17:05:02,3263.0,2200000.0,"1,483",164.4,166.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972768,2022-04-04,2022-04-04,07:18:28,07:21:00,7387.0,2916000.0,"2,533",164.5,167.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2973128,2022-04-04,2022-04-04,08:40:32,08:43:00,6343.0,2572000.0,"2,467",173.9,176.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974268,2022-04-04,2022-04-04,17:45:33,17:48:01,5267.0,2135000.0,"2,467",158.2,156.1,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974554,2022-04-05,2022-04-05,07:16:28,07:18:00,3220.0,2100000.0,"1,533",159.6,157.5,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974555,2022-04-05,2022-04-05,07:17:28,07:24:00,16117.0,2467000.0,"6,533",181.7,183.8,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 7,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2974928,2022-04-05,2022-04-05,08:15:31,09:36:00,551362.0,6851000.0,"80,483",175.5,177.5,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 80,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975105,2022-04-05,2022-04-05,08:35:32,08:37:00,2933.0,2000000.0,"1,467",175.6,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975289,2022-04-05,2022-04-05,08:55:31,08:57:00,5043.0,3400000.0,"1,483",175.4,178.8,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2975508,2022-04-05,2022-04-05,09:52:30,09:54:00,4500.0,3000000.0,"1,500",181.7,184.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Rush,High Intensity,1,M-E
2975855,2022-04-05,2022-04-05,16:27:32,16:29:00,3080.0,2100000.0,"1,467",158.1,156.0,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975981,2022-04-05,2022-04-05,16:49:33,16:58:00,21053.0,2492000.0,"8,450",180.7,178.7,A,2,A2,ascending,Leende,Maarheeze,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 8,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975999,2022-04-05,2022-04-05,16:52:33,16:55:02,5215.0,2100000.0,"2,483",158.4,156.3,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972855,2022-04-04,2022-04-04,07:45:29,07:47:00,4853.0,3200000.0,"1,517",179.5,182.7,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973135,2022-04-04,2022-04-04,08:41:32,08:59:01,65143.0,3726000.0,"17,483",163.8,166.1,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 17,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973946,2022-04-04,2022-04-04,16:59:32,17:05:01,14213.0,2592000.0,"5,483",177.4,175.2,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974502,2022-04-05,2022-04-05,06:53:26,06:58:00,12145.0,2659000.0,"4,567",160.6,157.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 5,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974503,2022-04-05,2022-04-05,06:54:27,07:01:00,18653.0,2848000.0,"6,550",164.5,161.9,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 7,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975770,2022-04-05,2022-04-05,16:11:32,16:16:00,12625.0,2826000.0,"4,467",161.4,163.9,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972778,2022-04-04,2022-04-04,07:21:29,07:23:00,3488.0,2300000.0,"1,517",164.4,166.7,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2972863,2022-04-04,2022-04-04,07:47:29,07:49:00,3488.0,2300000.0,"1,517",180.5,182.8,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973050,2022-04-04,2022-04-04,08:26:31,08:35:02,21745.0,2553000.0,"8,517",180.8,183.5,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 9,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974041,2022-04-04,2022-04-04,17:15:33,17:36:00,56842.0,2780000.0,"20,450",177.3,174.3,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 20,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974511,2022-04-05,2022-04-05,06:56:26,06:59:00,6640.0,2587000.0,"2,567",162.7,165.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2975874,2022-04-05,2022-04-05,16:30:32,16:34:01,7755.0,2226000.0,"3,483",158.2,156.2,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 3,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2976042,2022-04-05,2022-04-05,16:59:33,17:09:00,24400.0,2582000.0,"9,450",177.4,175.0,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 9,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2976124,2022-04-05,2022-04-05,17:09:33,17:14:00,10540.0,2369000.0,"4,450",177.8,175.3,A,2,A2,ascending,Valkenswaard,Leende,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2977016,2022-04-06,2022-04-06,08:44:33,08:58:00,36005.0,2677000.0,"13,450",163.8,166.2,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 13,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2971773,2022-04-01,2022-04-01,13:33:31,14:33:09,238535.0,4000000.0,"59,633",180.0,177.7,A,2,A2,ascending,Leende,Maarheeze,Eindhoven,Maastricht,accident (len),VWM 13,Accident,Accident,Accident,Accident,1,M-E
2974286,2022-04-04,2022-04-04,17:48:33,17:50:02,3263.0,2200000.0,"1,483",158.6,156.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 1,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974391,2022-04-04,2022-04-04,18:12:32,18:17:00,14942.0,3345000.0,"4,467",160.8,157.5,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 4,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974570,2022-04-05,2022-04-05,07:22:28,07:49:00,77775.0,2931000.0,"26,533",164.1,166.4,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 27,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2973589,2022-04-04,2022-04-04,15:34:31,15:42:00,18772.0,2508000.0,"7,483",160.8,158.4,A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht,rush hour traffic jam (no cause reported),VWM 7,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
2974519,2022-04-05,2022-04-05,06:59:27,07:01:00,3255.0,2100000.0,"1,550",164.2,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,Pointed traffic jam (not reported),No Cause Reported,Crowd or Busyness,High Intensity,1,M-E
