,NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
0,2973329,2022-04-04,2022-04-04,09:16:31,09:18:00,2967.0,2000000.0,"1,483",164.3,166.3,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
1,2974605,2022-04-05,2022-04-05,07:30:29,08:45:03,484687.0,6500000.0,"74,567",181.3,183.4,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
2,2972109,2022-04-01,2022-04-01,17:03:33,17:05:02,3263.0,2200000.0,"1,483",164.4,166.6,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
3,2972768,2022-04-04,2022-04-04,07:18:28,07:21:00,7387.0,2916000.0,"2,533",164.5,167.6,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
4,2973128,2022-04-04,2022-04-04,08:40:32,08:43:00,6343.0,2572000.0,"2,467",173.9,176.6,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
5,2974555,2022-04-05,2022-04-05,07:17:28,07:24:00,16117.0,2467000.0,"6,533",181.7,183.8,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
6,2974928,2022-04-05,2022-04-05,08:15:31,09:36:00,551362.0,6851000.0,"80,483",175.5,177.5,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
7,2975105,2022-04-05,2022-04-05,08:35:32,08:37:00,2933.0,2000000.0,"1,467",175.6,177.6,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
8,2975289,2022-04-05,2022-04-05,08:55:31,08:57:00,5043.0,3400000.0,"1,483",175.4,178.8,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
9,2975508,2022-04-05,2022-04-05,09:52:30,09:54:00,4500.0,3000000.0,"1,500",181.7,184.7,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
10,2972855,2022-04-04,2022-04-04,07:45:29,07:47:00,4853.0,3200000.0,"1,517",179.5,182.7,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
11,2973135,2022-04-04,2022-04-04,08:41:32,08:59:01,65143.0,3726000.0,"17,483",163.8,166.1,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
12,2975770,2022-04-05,2022-04-05,16:11:32,16:16:00,12625.0,2826000.0,"4,467",161.4,163.9,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
13,2972778,2022-04-04,2022-04-04,07:21:29,07:23:00,3488.0,2300000.0,"1,517",164.4,166.7,A,2,A2,descending,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),1,E-D
