File Start Date,File End Date,File Start Time,File End Time,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Route,Different Start-End Hour,Hectometer per Minute,start_datetime_full,end_datetime_full,time_difference,time_difference_seconds,time_difference_minutes,start_time,end_time
2023-01-12,2023-01-12,1900-01-01 07:30:28,1900-01-01 07:59:59,"134,617",181.5,181.96045561470842,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.015599851429986338,2000-01-01 07:30:28,2000-01-01 07:59:59,0 days 00:29:31,1771.0,29.516666666666666,07:30:28,07:59:59
2023-01-12,2023-01-12,1900-01-01 08:00:00,1900-01-01 08:59:59,"134,617",181.96045561470842,182.89618670298378,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.015599851429986338,2000-01-01 08:00:00,2000-01-01 08:59:59,0 days 00:59:59,3599.0,59.983333333333334,08:00:00,08:59:59
2023-01-12,2023-01-12,1900-01-01 09:00:00,1900-01-01 09:45:05,"134,617",182.89618670298378,183.59948000495234,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.015599851429986338,2000-01-01 09:00:00,2000-01-01 09:45:05,0 days 00:45:05,2705.0,45.083333333333336,09:00:00,09:45:05
2023-01-12,2023-01-12,1900-01-01 08:08:30,1900-01-01 08:12:00,"3,500",163.2,165.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.7428571428571493,2000-01-01 08:08:30,2000-01-01 08:12:00,0 days 00:03:30,210.0,3.5,08:08:30,08:12:00
2023-01-12,2023-01-12,1900-01-01 16:29:31,1900-01-01 16:36:03,"6,533",164.2,166.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.3214285714285749,2000-01-01 16:29:31,2000-01-01 16:36:03,0 days 00:06:32,392.0,6.533333333333333,16:29:31,16:36:03
2023-01-16,2023-01-16,1900-01-01 06:49:25,1900-01-01 06:55:01,"5,600",163.4,165.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.39285714285714085,2000-01-01 06:49:25,2000-01-01 06:55:01,0 days 00:05:36,336.0,5.6,06:49:25,06:55:01
2023-01-16,2023-01-16,1900-01-01 07:35:27,1900-01-01 07:51:00,"15,550",164.2,166.5,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.14790996784565988,2000-01-01 07:35:27,2000-01-01 07:51:00,0 days 00:15:33,933.0,15.55,07:35:27,07:51:00
2023-01-11,2023-01-11,1900-01-01 18:01:31,1900-01-01 18:04:00,"2,483",161.9,163.9,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.8053691275167785,2000-01-01 18:01:31,2000-01-01 18:04:00,0 days 00:02:29,149.0,2.4833333333333334,18:01:31,18:04:00
2023-01-12,2023-01-12,1900-01-01 16:05:31,1900-01-01 16:07:00,"1,483",164.2,166.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.415730337078667,2000-01-01 16:05:31,2000-01-01 16:07:00,0 days 00:01:29,89.0,1.4833333333333334,16:05:31,16:07:00
2023-01-12,2023-01-12,1900-01-01 16:21:32,1900-01-01 16:25:05,"3,550",163.2,165.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.6197183098591598,2000-01-01 16:21:32,2000-01-01 16:25:05,0 days 00:03:33,213.0,3.55,16:21:32,16:25:05
2023-01-12,2023-01-12,1900-01-01 07:31:28,1900-01-01 07:41:02,"9,567",164.2,166.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.22996515679442686,2000-01-01 07:31:28,2000-01-01 07:41:02,0 days 00:09:34,574.0,9.566666666666666,07:31:28,07:41:02
2023-01-12,2023-01-12,1900-01-01 07:45:29,1900-01-01 07:53:00,"7,517",164.2,166.4,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.29268292682927055,2000-01-01 07:45:29,2000-01-01 07:53:00,0 days 00:07:31,451.0,7.516666666666667,07:45:29,07:53:00
2023-01-12,2023-01-12,1900-01-01 16:36:32,1900-01-01 16:44:00,"7,467",164.1,167.1,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.4017857142857143,2000-01-01 16:36:32,2000-01-01 16:44:00,0 days 00:07:28,448.0,7.466666666666667,16:36:32,16:44:00
2023-01-16,2023-01-16,1900-01-01 07:42:28,1900-01-01 07:50:03,"7,583",181.7,183.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.27692307692307994,2000-01-01 07:42:28,2000-01-01 07:50:03,0 days 00:07:35,455.0,7.583333333333333,07:42:28,07:50:03
2023-01-16,2023-01-16,1900-01-01 07:59:29,1900-01-01 07:59:59,"5,583",162.7,162.9417910447761,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.4835820895522419,2000-01-01 07:59:29,2000-01-01 07:59:59,0 days 00:00:30,30.0,0.5,07:59:29,07:59:59
2023-01-16,2023-01-16,1900-01-01 08:00:00,1900-01-01 08:05:04,"5,583",162.9417910447761,165.39194029850745,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.4835820895522419,2000-01-01 08:00:00,2000-01-01 08:05:04,0 days 00:05:04,304.0,5.066666666666666,08:00:00,08:05:04
2023-01-13,2023-01-13,1900-01-01 16:03:32,1900-01-01 16:10:03,"6,517",164.6,166.9,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.35294117647059,2000-01-01 16:03:32,2000-01-01 16:10:03,0 days 00:06:31,391.0,6.516666666666667,16:03:32,16:10:03
2023-01-16,2023-01-16,1900-01-01 08:09:30,1900-01-01 08:12:00,"2,500",180.8,182.9,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.8399999999999977,2000-01-01 08:09:30,2000-01-01 08:12:00,0 days 00:02:30,150.0,2.5,08:09:30,08:12:00
2023-01-16,2023-01-16,1900-01-01 09:03:29,1900-01-01 09:09:00,"5,517",181.9,184.3,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.43504531722054485,2000-01-01 09:03:29,2000-01-01 09:09:00,0 days 00:05:31,331.0,5.516666666666667,09:03:29,09:09:00
2023-01-16,2023-01-16,1900-01-01 09:38:29,1900-01-01 09:41:00,"2,517",164.4,166.6,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,0.874172185430459,2000-01-01 09:38:29,2000-01-01 09:41:00,0 days 00:02:31,151.0,2.5166666666666666,09:38:29,09:41:00
2023-01-11,2023-01-11,1900-01-01 18:10:31,1900-01-01 18:12:00,"1,483",161.3,164.8,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.359550561797753,2000-01-01 18:10:31,2000-01-01 18:12:00,0 days 00:01:29,89.0,1.4833333333333334,18:10:31,18:12:00
2023-01-12,2023-01-12,1900-01-01 07:34:28,1900-01-01 07:37:00,"2,533",175.7,179.9,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,1.657894736842112,2000-01-01 07:34:28,2000-01-01 07:37:00,0 days 00:02:32,152.0,2.533333333333333,07:34:28,07:37:00
2023-01-16,2023-01-16,1900-01-01 06:59:26,1900-01-01 06:59:59,"4,567",164.3,164.69744525547446,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.7226277372262737,2000-01-01 06:59:26,2000-01-01 06:59:59,0 days 00:00:33,33.0,0.55,06:59:26,06:59:59
2023-01-16,2023-01-16,1900-01-01 07:00:00,1900-01-01 07:04:00,"4,567",164.69744525547446,167.58795620437957,A,2,A2,descending,Maastricht,Eindhoven,M-E,True,0.7226277372262737,2000-01-01 07:00:00,2000-01-01 07:04:00,0 days 00:04:00,240.0,4.0,07:00:00,07:04:00
2023-01-16,2023-01-16,1900-01-01 07:24:27,1900-01-01 07:26:00,"1,550",180.7,184.0,A,2,A2,descending,Maastricht,Eindhoven,M-E,False,2.1290322580645236,2000-01-01 07:24:27,2000-01-01 07:26:00,0 days 00:01:33,93.0,1.55,07:24:27,07:26:00
