Time Period,File Start Date,Total Time Difference (Minutes)
00:00 - 01:00,2022-02-05,41.0
00:00 - 01:00,2022-02-21,2.0
00:00 - 01:00,2022-02-27,0.31666666666666665
00:00 - 01:00,2022-04-02,10.233333333333333
00:00 - 01:00,2022-04-05,1.5166666666666666
00:00 - 01:00,2022-04-06,5.05
00:00 - 01:00,2022-04-08,7.683333333333334
00:00 - 01:00,2022-04-10,21.066666666666666
00:00 - 01:00,2022-04-12,15.7
00:00 - 01:00,2022-04-26,21.366666666666667
00:00 - 01:00,2022-04-29,0.11666666666666667
00:00 - 01:00,2022-06-02,8.133333333333333
00:00 - 01:00,2022-07-06,4.7
00:00 - 01:00,2022-07-09,59.983333333333334
00:00 - 01:00,2022-07-10,15.683333333333334
00:00 - 01:00,2022-07-13,2.7
00:00 - 01:00,2022-07-15,3.216666666666667
00:00 - 01:00,2022-07-16,19.683333333333334
00:00 - 01:00,2022-07-19,15.0
00:00 - 01:00,2022-07-24,53.65
00:00 - 01:00,2022-07-25,59.983333333333334
00:00 - 01:00,2022-07-27,18.983333333333334
00:00 - 01:00,2022-07-28,3.0
00:00 - 01:00,2022-08-02,28.016666666666666
00:00 - 01:00,2022-08-05,4.35
00:00 - 01:00,2022-08-06,23.083333333333332
00:00 - 01:00,2022-08-10,45.95
00:00 - 01:00,2022-08-13,22.633333333333333
00:00 - 01:00,2022-08-23,15.583333333333332
00:00 - 01:00,2022-08-26,10.066666666666666
00:00 - 01:00,2022-08-27,57.71666666666667
00:00 - 01:00,2022-08-28,41.88333333333333
00:00 - 01:00,2022-08-30,1.6833333333333333
00:00 - 01:00,2022-08-31,12.816666666666666
00:00 - 01:00,2022-12-06,11.350000000000001
00:00 - 01:00,2022-12-10,109.03333333333333
00:00 - 01:00,2022-12-13,16.3
00:00 - 01:00,2022-12-16,44.0
00:00 - 01:00,2022-12-19,128.06666666666666
00:00 - 01:00,2022-12-20,15.433333333333334
00:00 - 01:00,2022-12-31,59.983333333333334
01:00 - 02:00,2022-02-05,41.13333333333333
01:00 - 02:00,2022-02-15,5.666666666666667
01:00 - 02:00,2022-02-17,1.6666666666666667
01:00 - 02:00,2022-02-19,5.25
01:00 - 02:00,2022-02-23,0.65
01:00 - 02:00,2022-04-06,5.416666666666666
01:00 - 02:00,2022-04-08,8.0
01:00 - 02:00,2022-07-09,21.316666666666666
01:00 - 02:00,2022-07-10,51.28333333333333
01:00 - 02:00,2022-07-16,1.6666666666666667
01:00 - 02:00,2022-07-24,59.983333333333334
01:00 - 02:00,2022-07-25,59.983333333333334
01:00 - 02:00,2022-07-27,11.683333333333334
01:00 - 02:00,2022-07-28,2.7
01:00 - 02:00,2022-07-29,25.683333333333334
01:00 - 02:00,2022-08-02,36.0
01:00 - 02:00,2022-08-05,13.683333333333334
01:00 - 02:00,2022-08-13,14.983333333333333
01:00 - 02:00,2022-08-23,6.4
01:00 - 02:00,2022-08-25,48.56666666666667
01:00 - 02:00,2022-08-27,21.95
01:00 - 02:00,2022-12-06,1.0
01:00 - 02:00,2022-12-10,29.766666666666666
01:00 - 02:00,2022-12-19,74.81666666666666
01:00 - 02:00,2022-12-31,59.983333333333334
02:00 - 03:00,2022-02-11,3.6666666666666665
02:00 - 03:00,2022-02-19,6.45
02:00 - 03:00,2022-02-23,5.0
02:00 - 03:00,2022-02-24,2.6666666666666665
02:00 - 03:00,2022-04-01,0.8833333333333333
02:00 - 03:00,2022-04-08,1.75
02:00 - 03:00,2022-04-20,4.7
02:00 - 03:00,2022-04-30,11.783333333333333
02:00 - 03:00,2022-07-10,29.71666666666667
02:00 - 03:00,2022-07-24,8.1
02:00 - 03:00,2022-07-25,59.983333333333334
02:00 - 03:00,2022-07-28,13.7
02:00 - 03:00,2022-08-09,2.716666666666667
02:00 - 03:00,2022-08-23,35.83333333333333
02:00 - 03:00,2022-08-25,59.983333333333334
02:00 - 03:00,2022-08-30,1.7
02:00 - 03:00,2022-12-19,3.0
02:00 - 03:00,2022-12-31,26.016666666666666
03:00 - 04:00,2022-02-24,17.366666666666667
03:00 - 04:00,2022-04-02,75.06666666666666
03:00 - 04:00,2022-04-12,5.7
03:00 - 04:00,2022-04-20,7.716666666666667
03:00 - 04:00,2022-07-25,59.983333333333334
03:00 - 04:00,2022-07-27,2.7
03:00 - 04:00,2022-07-28,0.08333333333333333
03:00 - 04:00,2022-08-23,10.399999999999999
03:00 - 04:00,2022-08-25,3.5833333333333335
03:00 - 04:00,2022-12-19,31.583333333333332
04:00 - 05:00,2022-04-12,2.7333333333333334
04:00 - 05:00,2022-07-12,2.716666666666667
04:00 - 05:00,2022-07-25,5.7
04:00 - 05:00,2022-07-27,1.7
04:00 - 05:00,2022-07-29,12.399999999999999
04:00 - 05:00,2022-08-09,6.683333333333334
04:00 - 05:00,2022-08-30,3.7
04:00 - 05:00,2022-08-31,4.433333333333334
04:00 - 05:00,2022-12-19,8.7
05:00 - 06:00,2022-02-16,7.6
05:00 - 06:00,2022-02-21,13.6
05:00 - 06:00,2022-04-01,25.716666666666665
05:00 - 06:00,2022-04-04,23.633333333333333
05:00 - 06:00,2022-04-20,3.65
05:00 - 06:00,2022-04-30,2.683333333333333
05:00 - 06:00,2022-07-04,31.883333333333333
05:00 - 06:00,2022-07-05,1.65
05:00 - 06:00,2022-07-26,15.666666666666666
05:00 - 06:00,2022-07-27,128.91666666666666
05:00 - 06:00,2022-07-28,33.666666666666664
05:00 - 06:00,2022-08-05,1.65
05:00 - 06:00,2022-08-09,12.7
05:00 - 06:00,2022-08-15,8.116666666666667
05:00 - 06:00,2022-12-01,34.416666666666664
05:00 - 06:00,2022-12-08,0.6333333333333333
05:00 - 06:00,2022-12-14,2.6333333333333333
05:00 - 06:00,2022-12-15,25.633333333333333
05:00 - 06:00,2022-12-21,1.6166666666666667
06:00 - 07:00,2022-01-03,7.45
06:00 - 07:00,2022-01-10,67.76666666666667
06:00 - 07:00,2022-01-11,13.983333333333333
06:00 - 07:00,2022-01-12,74.21666666666667
06:00 - 07:00,2022-01-13,63.38333333333333
06:00 - 07:00,2022-01-14,35.96666666666667
06:00 - 07:00,2022-01-17,53.75
06:00 - 07:00,2022-01-18,52.916666666666664
06:00 - 07:00,2022-01-20,84.86666666666667
06:00 - 07:00,2022-01-21,40.85
06:00 - 07:00,2022-01-24,86.33333333333333
06:00 - 07:00,2022-01-25,19.900000000000002
06:00 - 07:00,2022-01-26,48.68333333333333
06:00 - 07:00,2022-01-27,158.88333333333333
06:00 - 07:00,2022-01-28,71.93333333333334
06:00 - 07:00,2022-01-31,120.63333333333334
06:00 - 07:00,2022-02-01,121.48333333333333
06:00 - 07:00,2022-02-02,0.9833333333333333
06:00 - 07:00,2022-02-03,23.316666666666666
06:00 - 07:00,2022-02-04,12.100000000000001
06:00 - 07:00,2022-02-07,264.6166666666667
06:00 - 07:00,2022-02-08,141.43333333333334
06:00 - 07:00,2022-02-09,145.25
06:00 - 07:00,2022-02-10,227.53333333333333
06:00 - 07:00,2022-02-14,100.93333333333334
06:00 - 07:00,2022-02-15,163.93333333333334
06:00 - 07:00,2022-02-16,350.1166666666667
06:00 - 07:00,2022-02-17,99.96666666666667
06:00 - 07:00,2022-02-18,26.116666666666667
06:00 - 07:00,2022-02-21,248.5
06:00 - 07:00,2022-02-22,114.51666666666667
06:00 - 07:00,2022-02-23,142.15
06:00 - 07:00,2022-02-24,101.73333333333333
06:00 - 07:00,2022-02-25,72.23333333333333
06:00 - 07:00,2022-02-28,128.68333333333334
06:00 - 07:00,2022-04-01,540.4333333333334
06:00 - 07:00,2022-04-04,208.8
06:00 - 07:00,2022-04-05,548.5500000000001
06:00 - 07:00,2022-04-06,139.95
06:00 - 07:00,2022-04-07,277.4
06:00 - 07:00,2022-04-08,82.18333333333334
06:00 - 07:00,2022-04-10,3.35
06:00 - 07:00,2022-04-11,158.15
06:00 - 07:00,2022-04-12,174.68333333333334
06:00 - 07:00,2022-04-13,123.86666666666666
06:00 - 07:00,2022-04-14,184.86666666666667
06:00 - 07:00,2022-04-19,343.0833333333333
06:00 - 07:00,2022-04-20,195.15
06:00 - 07:00,2022-04-21,179.98333333333335
06:00 - 07:00,2022-04-22,66.11666666666666
06:00 - 07:00,2022-04-25,365.1666666666667
06:00 - 07:00,2022-04-26,140.33333333333334
06:00 - 07:00,2022-04-28,99.66666666666667
06:00 - 07:00,2022-04-29,10.6
06:00 - 07:00,2022-04-30,59.983333333333334
06:00 - 07:00,2022-06-01,185.35
06:00 - 07:00,2022-06-02,224.68333333333334
06:00 - 07:00,2022-07-01,47.15
06:00 - 07:00,2022-07-04,199.71666666666667
06:00 - 07:00,2022-07-05,220.7
06:00 - 07:00,2022-07-06,170.88333333333333
06:00 - 07:00,2022-07-07,246.45
06:00 - 07:00,2022-07-08,36.583333333333336
06:00 - 07:00,2022-07-11,176.2
06:00 - 07:00,2022-07-12,216.66666666666666
06:00 - 07:00,2022-07-13,125.75
06:00 - 07:00,2022-07-14,334.0
06:00 - 07:00,2022-07-15,45.81666666666667
06:00 - 07:00,2022-07-18,22.716666666666665
06:00 - 07:00,2022-07-19,42.71666666666667
06:00 - 07:00,2022-07-20,5.633333333333334
06:00 - 07:00,2022-07-22,18.783333333333335
06:00 - 07:00,2022-07-25,2.6333333333333333
06:00 - 07:00,2022-07-26,26.966666666666665
06:00 - 07:00,2022-07-27,609.8666666666667
06:00 - 07:00,2022-07-28,87.6
06:00 - 07:00,2022-07-29,3.5833333333333335
06:00 - 07:00,2022-07-30,10.366666666666667
06:00 - 07:00,2022-08-05,0.016666666666666666
06:00 - 07:00,2022-08-08,5.266666666666667
06:00 - 07:00,2022-08-10,3.5833333333333335
06:00 - 07:00,2022-08-11,11.600000000000001
06:00 - 07:00,2022-08-13,11.333333333333334
06:00 - 07:00,2022-08-17,5.716666666666667
06:00 - 07:00,2022-08-18,5.6
06:00 - 07:00,2022-08-19,5.283333333333333
06:00 - 07:00,2022-08-20,1.7
06:00 - 07:00,2022-08-22,81.2
06:00 - 07:00,2022-08-23,18.85
06:00 - 07:00,2022-08-24,69.45
06:00 - 07:00,2022-08-25,77.01666666666667
06:00 - 07:00,2022-08-29,113.31666666666666
06:00 - 07:00,2022-08-30,154.11666666666667
06:00 - 07:00,2022-08-31,83.98333333333333
06:00 - 07:00,2022-12-01,548.1166666666667
06:00 - 07:00,2022-12-02,93.86666666666666
06:00 - 07:00,2022-12-05,665.8166666666667
06:00 - 07:00,2022-12-06,511.40000000000003
06:00 - 07:00,2022-12-07,372.76666666666665
06:00 - 07:00,2022-12-08,736.9
06:00 - 07:00,2022-12-09,214.76666666666665
06:00 - 07:00,2022-12-12,305.1166666666667
06:00 - 07:00,2022-12-13,595.7833333333333
06:00 - 07:00,2022-12-14,248.41666666666666
