NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3347448,2023-01-12,2023-01-12,07:54:30,08:44:16,224497.0,4511000.0,"49,767",136.8,134.6,A,50,A50,ascending,Oss,Arnhem,Accident(s),E-A
3348657,2023-01-12,2023-01-12,16:35:31,16:38:00,5745.0,2313000.0,"2,483",112.7,110.3,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3346466,2023-01-11,2023-01-11,16:45:32,17:19:00,110052.0,3288000.0,"33,467",117.8,113.8,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3347822,2023-01-12,2023-01-12,08:40:31,09:16:03,147383.0,4148000.0,"35,533",139.9,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347942,2023-01-12,2023-01-12,08:57:31,09:03:00,14012.0,2555000.0,"5,483",112.9,110.7,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3348739,2023-01-12,2023-01-12,16:45:32,16:48:00,5957.0,2415000.0,"2,467",140.0,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348741,2023-01-12,2023-01-12,16:46:32,16:49:00,6812.0,2761000.0,"2,467",110.5,108.0,A,50,A50,ascending,Eindhoven,Oss,Rush hour traffic jam (no cause reported),E-A
3349135,2023-01-12,2023-01-12,17:32:32,17:34:00,2933.0,2000000.0,"1,467",140.3,138.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349451,2023-01-12,2023-01-12,18:33:30,19:01:02,87270.0,3170000.0,"27,533",136.9,135.1,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351008,2023-01-16,2023-01-16,07:46:28,07:51:01,11463.0,2519000.0,"4,550",154.7,152.3,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3349325,2023-01-12,2023-01-12,17:55:31,18:04:00,20490.0,2415000.0,"8,483",139.7,137.4,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3350803,2023-01-16,2023-01-16,07:18:27,07:36:02,46433.0,2641000.0,"17,583",137.0,134.7,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3351320,2023-01-16,2023-01-16,08:15:30,08:17:01,4095.0,2700000.0,"1,517",140.3,137.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347681,2023-01-12,2023-01-12,08:21:31,08:27:00,14070.0,2566000.0,"5,483",154.5,151.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3347960,2023-01-12,2023-01-12,09:01:31,09:03:00,2967.0,2000000.0,"1,483",134.6,132.6,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
3348029,2023-01-12,2023-01-12,09:16:30,09:24:00,17052.0,2274000.0,"7,500",140.1,137.9,A,50,A50,ascending,Oss,Arnhem,Rush hour traffic jam (no cause reported),E-A
