NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Month,route
2974289,2022-04-04,2022-04-04,17:48:33,18:06:01,47260.0,2706000.0,"17,467",140.0,137.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975071,2022-04-05,2022-04-05,08:30:31,08:53:21,74697.0,3271000.0,"22,833",139.5,137.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975416,2022-04-05,2022-04-05,09:20:31,09:37:00,46637.0,2829000.0,"16,483",154.5,152.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975955,2022-04-05,2022-04-05,16:44:32,16:48:00,8077.0,2330000.0,"3,467",139.1,136.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975975,2022-04-05,2022-04-05,16:48:33,17:02:00,43357.0,3224000.0,"13,450",137.0,134.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2976146,2022-04-05,2022-04-05,17:12:32,17:15:02,7890.0,3156000.0,"2,500",139.1,136.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974294,2022-04-04,2022-04-04,17:49:33,17:53:00,8518.0,2469000.0,"3,450",115.7,113.3,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974377,2022-04-04,2022-04-04,18:06:31,18:08:00,4005.0,2700000.0,"1,483",135.0,132.3,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974610,2022-04-05,2022-04-05,07:30:29,07:50:02,69517.0,3556000.0,"19,550",140.2,137.7,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975144,2022-04-05,2022-04-05,08:39:32,08:46:02,19123.0,2942000.0,"6,500",159.7,157.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975185,2022-04-05,2022-04-05,08:44:32,08:53:01,30387.0,3582000.0,"8,483",139.9,136.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975857,2022-04-05,2022-04-05,16:27:32,16:33:00,18203.0,3330000.0,"5,467",116.5,113.0,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2975967,2022-04-05,2022-04-05,16:47:32,17:46:00,448122.0,7665000.0,"58,467",117.4,113.4,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2976064,2022-04-05,2022-04-05,17:02:33,17:30:02,110242.0,4011000.0,"27,483",140.2,136.8,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974237,2022-04-04,2022-04-04,17:41:32,17:43:00,5573.0,3800000.0,"1,467",113.5,109.7,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974252,2022-04-04,2022-04-04,17:43:33,17:46:01,8233.0,3338000.0,"2,467",113.5,109.7,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974343,2022-04-04,2022-04-04,17:59:32,18:05:02,11405.0,2074000.0,"5,500",140.2,138.2,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974381,2022-04-04,2022-04-04,18:07:32,18:10:01,5292.0,2131000.0,"2,483",115.7,113.6,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2978522,2022-04-07,2022-04-07,08:19:27,08:44:02,61680.0,2509000.0,"24,583",152.5,150.5,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2973759,2022-04-04,2022-04-04,16:26:32,16:28:00,3227.0,2200000.0,"1,467",120.2,118.0,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2973947,2022-04-04,2022-04-04,16:59:32,17:07:00,16675.0,2233000.0,"7,467",135.6,133.6,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2974348,2022-04-04,2022-04-04,18:00:32,18:03:00,5767.0,2338000.0,"2,467",113.6,111.2,A,50,A50,ascending,Eindhoven,Oss,rush hour traffic jam (no cause reported),1,E-A
2974854,2022-04-05,2022-04-05,08:06:30,08:18:00,41978.0,3650000.0,"11,500",136.4,131.4,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
2975061,2022-04-05,2022-04-05,08:29:31,08:32:02,9067.0,3603000.0,"2,517",159.6,156.1,A,50,A50,ascending,Oss,Arnhem,rush hour traffic jam (no cause reported),1,E-A
