NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Trajectory From,Trajectory To,Cause Ground Detail,Route
3348898,2023-01-12,2023-01-12,17:07:32,17:18:00,38938.0,3720000.0,"10,467",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3349412,2023-01-12,2023-01-12,18:14:31,18:16:00,4005.0,2700000.0,"1,483",110.9,113.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3350794,2023-01-16,2023-01-16,07:16:27,08:48:01,329302.0,3596000.0,"91,567",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3346817,2023-01-11,2023-01-11,17:37:32,17:40:04,5320.0,2100000.0,"2,533",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3346384,2023-01-11,2023-01-11,16:31:33,17:12:44,165080.0,4008000.0,"41,183",114.6,116.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Accident(s),E-D
3347158,2023-01-12,2023-01-12,07:15:27,07:17:00,3720.0,2400000.0,"1,550",110.9,113.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3346836,2023-01-11,2023-01-11,17:40:32,17:42:00,4107.0,2800000.0,"1,467",110.9,113.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3347167,2023-01-12,2023-01-12,07:17:27,08:09:19,208450.0,4019000.0,"51,867",110.9,113.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Accident(s),E-D
3349333,2023-01-12,2023-01-12,17:56:33,17:58:00,3190.0,2200000.0,"1,450",126.9,129.1,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3351033,2023-01-16,2023-01-16,07:49:29,07:59:00,18575.0,1952000.0,"9,517",113.0,115.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351164,2023-01-16,2023-01-16,08:00:28,08:02:00,3067.0,2000000.0,"1,533",114.3,116.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351631,2023-01-16,2023-01-16,08:46:29,08:51:04,10298.0,2247000.0,"4,583",121.6,123.8,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3347980,2023-01-12,2023-01-12,09:06:31,09:09:00,5885.0,2370000.0,"2,483",122.0,124.3,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3349010,2023-01-12,2023-01-12,17:20:51,17:55:16,99150.0,2881000.0,"34,417",114.7,116.7,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Accident(s),E-D
3349014,2023-01-12,2023-01-12,17:20:32,18:05:03,245510.0,5515000.0,"44,517",115.6,121.5,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3349015,2023-01-12,2023-01-12,17:20:32,17:40:04,52727.0,2699000.0,"19,533",110.9,113.5,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3349351,2023-01-12,2023-01-12,17:59:31,18:01:02,3033.0,2000000.0,"1,517",127.8,129.8,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3351138,2023-01-16,2023-01-16,07:57:29,07:59:01,3220.0,2100000.0,"1,533",113.8,116.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351567,2023-01-16,2023-01-16,08:39:30,08:42:00,7500.0,3000000.0,"2,500",110.0,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351569,2023-01-16,2023-01-16,08:39:30,08:46:04,15303.0,2330000.0,"6,567",121.7,124.0,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3349177,2023-01-12,2023-01-12,17:37:31,17:39:00,2967.0,2000000.0,"1,483",122.2,124.2,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3351186,2023-01-16,2023-01-16,08:02:29,08:28:01,86343.0,3382000.0,"25,533",121.6,124.3,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3352563,2023-01-16,2023-01-16,17:18:32,17:24:00,15772.0,2885000.0,"5,467",115.8,118.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3352620,2023-01-16,2023-01-16,17:25:33,17:29:00,11895.0,3448000.0,"3,450",115.9,119.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3353070,2023-01-17,2023-01-17,06:40:25,06:42:00,3167.0,2000000.0,"1,583",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3353129,2023-01-17,2023-01-17,06:58:26,07:03:00,12943.0,2834000.0,"4,567",110.9,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3347118,2023-01-12,2023-01-12,07:06:27,07:09:00,5100.0,2000000.0,"2,550",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3347324,2023-01-12,2023-01-12,07:40:28,09:11:15,536883.0,5914000.0,"90,783",121.7,123.9,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Ongeval (met opruim/berging),E-D
3353076,2023-01-17,2023-01-17,06:42:25,06:47:00,13320.0,2906000.0,"4,583",111.3,113.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3353190,2023-01-17,2023-01-17,07:16:28,07:18:00,5060.0,3300000.0,"1,533",110.8,114.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351677,2023-01-16,2023-01-16,08:51:30,08:53:00,3150.0,2100000.0,"1,500",121.7,123.8,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3352639,2023-01-16,2023-01-16,17:28:32,17:30:03,3033.0,2000000.0,"1,517",111.0,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3352690,2023-01-16,2023-01-16,17:33:32,17:36:01,6625.0,2668000.0,"2,483",115.9,118.4,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3347131,2023-01-12,2023-01-12,07:09:27,07:12:00,7175.0,2814000.0,"2,550",110.9,113.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3349398,2023-01-12,2023-01-12,18:11:31,18:14:00,6327.0,2548000.0,"2,483",110.5,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3351901,2023-01-16,2023-01-16,09:35:28,10:34:00,168852.0,2885000.0,"58,533",110.9,113.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Traffic jam outside rush hour (no cause reported),E-D
3353232,2023-01-17,2023-01-17,07:14:27,08:16:02,224828.0,3651000.0,"61,583",143.0,157.3,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3353321,2023-01-17,2023-01-17,07:38:28,07:41:00,3712.0,1465000.0,"2,533",112.6,114.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3352541,2023-01-16,2023-01-16,17:15:32,17:18:00,5800.0,2351000.0,"2,467",115.9,118.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3353890,2023-01-17,2023-01-17,08:31:31,08:52:01,72458.0,3535000.0,"20,500",110.9,112.9,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3354887,2023-01-17,2023-01-17,16:32:30,16:37:01,2258.0,500000.0,"4,517",115.4,115.3,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3355227,2023-01-17,2023-01-17,17:17:29,17:22:01,10520.0,2321000.0,"4,533",113.6,116.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3355464,2023-01-17,2023-01-17,17:40:29,17:46:00,14680.0,2661000.0,"5,517",110.9,113.1,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3355482,2023-01-17,2023-01-17,17:42:28,17:44:00,3527.0,2300000.0,"1,533",115.9,118.2,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3355003,2023-01-17,2023-01-17,16:47:29,16:52:00,10372.0,2296000.0,"4,517",110.8,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3355518,2023-01-17,2023-01-17,17:46:28,17:52:00,12733.0,2301000.0,"5,533",111.4,113.5,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3354084,2023-01-17,2023-01-17,08:53:30,08:59:00,11352.0,2064000.0,"5,500",110.9,113.0,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3357154,2023-01-18,2023-01-18,17:05:28,17:09:00,8615.0,2438000.0,"3,533",121.7,123.9,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3357854,2023-01-19,2023-01-19,07:03:24,07:07:01,8468.0,2341000.0,"3,617",141.6,143.2,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3357924,2023-01-19,2023-01-19,07:16:24,07:21:00,11320.0,2461000.0,"4,600",141.1,143.2,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
3357929,2023-01-19,2023-01-19,07:17:24,07:22:00,10467.0,2275000.0,"4,600",113.3,115.6,A,2,A2,descending,'s-Hertogenbosch,Utrecht,Rush hour traffic jam (no cause reported),E-D
3358136,2023-01-19,2023-01-19,07:40:25,09:17:00,400390.0,4146000.0,"96,583",124.5,127.1,A,2,A2,descending,Eindhoven,'s-Hertogenbosch,Rush hour traffic jam (no cause reported),E-D
