Date,Hour,DD,FH,FF,FX,T,TD,SQ,Q,DR,RH,P,VV,N,U,M,R,S,O,Y
2022-12-01,4,10,4.0,4.0,5.0,5.6,4.2,0.0,0,0.0,0.0,1027.2,50,8,90,0,0,0,0,0
2022-12-01,5,20,3.0,3.0,4.0,5.6,4.3,0.0,0,0.0,0.0,1027.2,50,8,91,0,0,0,0,0
2022-12-01,6,10,3.0,3.0,5.0,5.5,4.3,0.0,0,0.0,0.0,1027.3,56,8,91,0,0,0,0,0
2022-12-01,7,30,3.0,4.0,5.0,5.6,4.2,0.0,0,0.0,0.0,1027.5,56,8,90,0,0,0,0,0
2022-12-01,8,50,4.0,4.0,6.0,5.8,3.9,0.0,2,0.0,0.0,1027.9,57,8,87,0,0,0,0,0
2022-12-01,9,20,3.0,3.0,5.0,5.9,3.9,0.0,11,0.0,0.0,1028.3,57,8,86,0,0,0,0,0
2022-12-01,10,20,4.0,4.0,5.0,6.4,3.6,0.0,23,0.0,0.0,1028.3,58,8,82,0,0,0,0,0
2022-12-01,11,30,4.0,4.0,7.0,6.7,3.6,0.0,38,0.0,0.0,1027.9,58,8,80,0,0,0,0,0
2022-12-01,12,360,4.0,4.0,6.0,6.9,3.8,0.0,42,0.0,0.0,1027.5,58,8,81,0,0,0,0,0
2022-12-01,13,20,3.0,4.0,6.0,7.1,3.3,0.0,35,0.0,0.0,1027.1,60,8,76,0,0,0,0,0
2022-12-01,14,20,4.0,4.0,6.0,6.5,3.0,0.0,35,0.0,0.0,1026.8,59,7,78,0,0,0,0,0
2022-12-01,15,20,4.0,4.0,7.0,6.6,3.1,0.3,15,0.0,0.0,1026.9,60,8,78,0,0,0,0,0
2022-12-01,16,10,4.0,4.0,6.0,6.2,3.2,0.0,1,0.0,0.0,1027.0,58,8,80,0,0,0,0,0
2022-12-01,17,20,4.0,3.0,6.0,6.0,3.5,0.0,0,0.0,0.0,1027.2,57,8,83,0,0,0,0,0
2022-12-01,18,20,3.0,2.0,5.0,5.8,3.4,0.0,0,0.0,0.0,1027.1,57,8,84,0,0,0,0,0
2022-12-01,19,30,3.0,3.0,4.0,5.7,3.4,0.0,0,0.0,0.0,1027.0,57,8,85,0,0,0,0,0
2022-12-01,20,40,3.0,3.0,5.0,5.7,3.3,0.0,0,0.0,0.0,1027.0,57,8,84,0,0,0,0,0
2022-12-01,21,30,3.0,3.0,5.0,5.5,3.5,0.0,0,0.0,0.0,1026.9,57,8,86,0,0,0,0,0
2022-12-01,22,40,3.0,3.0,5.0,5.3,3.9,0.0,0,0.0,0.0,1026.5,56,8,90,0,0,0,0,0
2022-12-01,23,30,3.0,3.0,6.0,5.3,3.8,0.0,0,0.0,0.0,1026.3,49,8,90,0,0,0,0,0
2022-12-01,24,40,3.0,3.0,6.0,5.3,3.6,0.0,0,0.0,0.0,1025.9,45,8,88,0,0,0,0,0
2022-12-02,1,50,4.0,4.0,7.0,4.7,2.1,0.0,0,0.0,0.0,1025.5,50,8,82,0,0,0,0,0
2022-12-02,2,50,3.0,3.0,6.0,4.5,2.2,0.0,0,0.0,0.0,1025.5,50,8,85,0,0,0,0,0
2022-12-02,3,60,3.0,3.0,5.0,4.0,1.6,0.0,0,0.0,0.0,1025.2,50,8,84,0,0,0,0,0
2022-12-02,4,60,4.0,4.0,7.0,3.5,0.8,0.0,0,0.0,0.0,1024.8,56,8,82,0,0,0,0,0
2022-12-02,5,40,4.0,5.0,7.0,3.2,0.6,0.0,0,0.0,0.0,1024.5,56,8,82,0,0,0,0,0
2022-12-02,6,50,5.0,5.0,8.0,3.1,0.3,0.0,0,0.0,0.0,1024.2,58,8,81,0,0,0,0,0
2022-12-02,7,60,5.0,5.0,8.0,3.1,0.3,0.0,0,0.0,0.0,1024.2,58,8,81,0,0,0,0,0
2022-12-02,8,40,5.0,5.0,8.0,3.1,0.6,0.0,0,0.0,0.0,1024.2,58,8,83,0,0,0,0,0
2022-12-02,12,40,6.0,6.0,9.0,3.5,1.5,0.0,18,0.0,0.0,1023.4,56,8,86,0,0,0,0,0
2022-12-02,13,30,7.0,8.0,10.0,3.5,1.2,0.0,16,0.0,0.0,1022.8,57,8,85,0,0,0,0,0
2022-12-02,14,40,6.0,6.0,10.0,3.5,0.4,0.0,21,0.0,0.0,1022.7,59,8,80,0,0,0,0,0
2022-12-02,15,60,6.0,6.0,10.0,3.3,0.3,0.0,7,0.0,0.0,1023.0,61,8,81,0,0,0,0,0
