NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month
2973222,2022-04-04,2022-04-04,08:53:31,08:55:02,3185.0,2100000.0,"1,517",148.9,151.0,A,59,A59,descending,Oss,Nuland,Oss,'s-Hertogenbosch,rush hour traffic jam (no cause reported) with work found in spin,VWM 2,Rush Hour Traffic Jam (No Cause Reported) with Found Work in Spin,No Cause Reported,Crowd or Busyness,High Intensity,1
2973452,2022-04-04,2022-04-04,12:26:30,12:28:00,3750.0,2500000.0,"1,500",153.4,155.9,A,50,A50,descending,Valburg,Tacitusbrug,Arnhem,Oss,traffic jam outside rush hour (no cause reported),VWM 2,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974228,2022-04-04,2022-04-04,17:39:32,17:42:00,5789.0,2347000.0,"2,467",132.1,134.4,A,59,A59,descending,'s-Hertogenbosch-Maaspoort,Engelen,'s-Hertogenbosch,Zonzeel,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974263,2022-04-04,2022-04-04,17:44:33,17:48:01,7332.0,2115000.0,"3,467",132.2,134.4,A,59,A59,descending,'s-Hertogenbosch-Maaspoort,Engelen,'s-Hertogenbosch,Zonzeel,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974290,2022-04-04,2022-04-04,17:48:33,17:50:02,6113.0,4121000.0,"1,483",130.3,134.4,A,59,A59,descending,'s-Hertogenbosch-Maaspoort,Engelen,'s-Hertogenbosch,Zonzeel,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974329,2022-04-04,2022-04-04,17:55:32,17:59:00,8190.0,2363000.0,"3,467",132.1,134.4,A,59,A59,descending,'s-Hertogenbosch-Maaspoort,Engelen,'s-Hertogenbosch,Zonzeel,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974744,2022-04-05,2022-04-05,07:53:30,08:02:02,18833.0,2207000.0,"8,533",124.4,126.6,A,50,A50,descending,Nistelrode,Zeeland,Oss,Eindhoven,rush hour traffic jam (no cause reported),VWM 9,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974921,2022-04-05,2022-04-05,08:14:31,08:19:01,10830.0,2407000.0,"4,500",150.9,153.2,A,59,A59,descending,Oss,Nuland,Oss,'s-Hertogenbosch,rush hour traffic jam (no cause reported) with work found in spin,VWM 4,Rush Hour Traffic Jam (No Cause Reported) with Found Work in Spin,No Cause Reported,Crowd or Busyness,High Intensity,1
2974922,2022-04-05,2022-04-05,08:14:31,08:31:01,83182.0,5041000.0,"16,500",146.0,148.3,A,59,A59,descending,Nuland,Kruisstraat,Oss,'s-Hertogenbosch,rush hour traffic jam (no cause reported) with work found in spin,VWM 16,Rush Hour Traffic Jam (No Cause Reported) with Found Work in Spin,No Cause Reported,Crowd or Busyness,High Intensity,1
2975010,2022-04-05,2022-04-05,08:24:31,08:28:00,9873.0,2834000.0,"3,483",129.2,132.4,A,15,A15,descending,Tiel,Tiel-West,Nijmegen,Gorinchem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975044,2022-04-05,2022-04-05,08:27:32,08:29:01,3263.0,2200000.0,"1,483",147.1,149.3,A,50,A50,descending,Valburg,Ewijk,Arnhem,Oss,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975046,2022-04-05,2022-04-05,08:27:32,08:56:02,127300.0,4467000.0,"28,500",145.9,148.3,A,59,A59,descending,Nuland,Kruisstraat,Oss,'s-Hertogenbosch,rush hour traffic jam (no cause reported) with work found in spin,VWM 28,Rush Hour Traffic Jam (No Cause Reported) with Found Work in Spin,No Cause Reported,Crowd or Busyness,High Intensity,1
2975070,2022-04-05,2022-04-05,08:30:31,08:35:02,10260.0,2272000.0,"4,517",124.8,126.9,A,50,A50,descending,Nistelrode,Zeeland,Oss,Eindhoven,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975099,2022-04-05,2022-04-05,08:35:32,08:45:02,36292.0,3820000.0,"9,500",135.5,140.0,A,12,A12,descending,Westervoort,IJsselbrug,Duitse grens,Arnhem,rush hour traffic jam (no cause reported),VWM 10,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975102,2022-04-05,2022-04-05,08:35:32,08:40:02,11165.0,2481000.0,"4,500",134.0,136.2,A,15,A15,descending,Echteld,brug over het Amsterdam-Rijnkanaal,Nijmegen,Gorinchem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976107,2022-04-05,2022-04-05,17:07:32,17:09:00,3080.0,2100000.0,"1,467",121.6,123.7,A,2,A2,descending,Vught,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976147,2022-04-05,2022-04-05,17:12:32,17:24:00,27546.0,2402000.0,"11,467",129.6,131.7,A,59,A59,descending,Engelen,'s-Hertogenbosch-West,'s-Hertogenbosch,Zonzeel,rush hour traffic jam (no cause reported),VWM 11,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2976206,2022-04-05,2022-04-05,17:20:32,17:29:01,24372.0,2873000.0,"8,483",126.3,129.5,A,2,A2,descending,Boxtel-Noord,Vught,Eindhoven,'s-Hertogenbosch,rush hour traffic jam (no cause reported),VWM 8,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972769,2022-04-04,2022-04-04,07:18:28,07:21:00,5320.0,2100000.0,"2,533",141.5,143.6,A,50,A50,descending,Bankhoef,Maasbrug,Arnhem,Oss,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972943,2022-04-04,2022-04-04,08:04:31,08:12:00,26425.0,3531000.0,"7,483",141.2,144.3,A,50,A50,descending,Bankhoef,Maasbrug,Arnhem,Oss,rush hour traffic jam (no cause reported),VWM 7,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973454,2022-04-04,2022-04-04,12:28:30,12:41:14,32985.0,2590000.0,"12,733",154.3,156.4,A,50,A50,descending,Heteren,Valburg,Arnhem,Oss,accident (len),VWM 4,Accidents,Accident,Accident,Accident,1
