NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause 1,Cause 2,Cause 3,Cause 4,Month,route
2975144,2022-04-05,2022-04-05,08:39:32,08:46:02,19123.0,2942000.0,"6,500",159.7,157.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2975061,2022-04-05,2022-04-05,08:29:31,08:32:02,9067.0,3603000.0,"2,517",159.6,156.1,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2975299,2022-04-05,2022-04-05,08:56:31,09:03:00,17900.0,2761000.0,"6,483",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 6,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2974771,2022-04-05,2022-04-05,07:56:31,09:24:00,525217.0,6004000.0,"87,483",159.6,156.2,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 87,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2974944,2022-04-05,2022-04-05,08:16:31,08:18:00,3115.0,2100000.0,"1,483",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 1,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2972970,2022-04-04,2022-04-04,08:10:30,08:15:02,13507.0,2979000.0,"4,533",159.6,157.0,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2975214,2022-04-05,2022-04-05,08:47:32,08:52:00,9467.0,2119000.0,"4,467",159.7,157.7,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2974889,2022-04-05,2022-04-05,08:10:31,08:13:00,5587.0,2250000.0,"2,483",159.6,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978237,2022-04-07,2022-04-07,07:46:26,09:33:00,725243.0,6806000.0,"106,567",159.8,157.4,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 107,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978361,2022-04-07,2022-04-07,08:02:27,08:07:00,14205.0,3122000.0,"4,550",159.5,156.8,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 5,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978494,2022-04-07,2022-04-07,08:16:28,08:19:01,5605.0,2198000.0,"2,550",159.6,157.5,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2974741,2022-04-05,2022-04-05,07:52:30,07:55:02,5497.0,2170000.0,"2,533",159.7,157.5,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 3,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2974817,2022-04-05,2022-04-05,08:02:30,08:06:01,8110.0,2306000.0,"3,517",159.7,157.6,A,50,A50,ascending,Heteren,Rijnbrug,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 4,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2971420,2022-04-01,2022-04-01,06:20:23,06:22:00,3395.0,2100000.0,"1,617",157.3,155.2,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
2978842,2022-04-07,2022-04-07,08:56:28,08:58:00,3987.0,2600000.0,"1,533",159.5,156.9,A,50,A50,ascending,Valburg,Heteren,Oss,Arnhem,rush hour traffic jam (no cause reported),VWM 2,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1,E-A
