NL Site Number,File Start Date,File End Date,File Start Time,File End Time,File Severity,Average Length,File Duration,Hectometer Head,Hectometer Tail,Route Letter,Route Number,Route Description,Hectometering Direction,Head Road Section From,Head Road Section To,Trajectory From,Trajectory To,Cause Ground Detail,Cause Progression,Cause Code Progression,Cause Code,Cause 1,Cause 2,Cause 3,Cause 4,Month
2973030,2022-04-04,2022-04-04,08:20:30,08:51:01,153372.0,5026000.0,"30,517",159.4,161.4,N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,rush hour traffic jam (no cause reported),VWM 31,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973329,2022-04-04,2022-04-04,09:16:31,09:18:00,2967.0,2000000.0,"1,483",164.3,166.3,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973452,2022-04-04,2022-04-04,12:26:30,12:28:00,3750.0,2500000.0,"1,500",153.4,155.9,A,50,A50,descending,Valburg,Tacitusbrug,Arnhem,Oss,traffic jam outside rush hour (no cause reported),VWM 2,[000],003,Off-Peak Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974605,2022-04-05,2022-04-05,07:30:29,08:45:03,484687.0,6500000.0,"74,567",181.3,183.4,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 75,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972109,2022-04-01,2022-04-01,17:03:33,17:05:02,3263.0,2200000.0,"1,483",164.4,166.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2972768,2022-04-04,2022-04-04,07:18:28,07:21:00,7387.0,2916000.0,"2,533",164.5,167.6,A,2,A2,descending,De Hogt,Batadorp,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 3,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973128,2022-04-04,2022-04-04,08:40:32,08:43:00,6343.0,2572000.0,"2,467",173.9,176.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 2,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2973454,2022-04-04,2022-04-04,12:28:30,12:41:14,32985.0,2590000.0,"12,733",154.3,156.4,A,50,A50,descending,Heteren,Valburg,Arnhem,Oss,accident (len),VWM 4,"[000], [ACI]",ACI,Accidents,Accident,Accident,Accident,1
2974555,2022-04-05,2022-04-05,07:17:28,07:24:00,16117.0,2467000.0,"6,533",181.7,183.8,A,2,A2,descending,Maarheeze,Leende,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 7,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974843,2022-04-05,2022-04-05,08:05:30,08:18:01,41848.0,3343000.0,"12,517",155.0,158.2,A,1,A1,descending,Hengelo,Buren,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 13,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974925,2022-04-05,2022-04-05,08:15:31,08:19:01,9987.0,2853000.0,"3,500",159.5,162.3,A,15,A15,descending,Elst,Valburg,Nijmegen,Gorinchem,rush hour traffic jam (no cause reported),VWM 4,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2974928,2022-04-05,2022-04-05,08:15:31,09:36:00,551362.0,6851000.0,"80,483",175.5,177.5,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 80,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975037,2022-04-05,2022-04-05,08:27:32,09:04:00,169262.0,4642000.0,"36,467",157.8,160.3,A,1,A1,descending,Hengelo-Noord,Hengelo,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 36,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975105,2022-04-05,2022-04-05,08:35:32,08:37:00,2933.0,2000000.0,"1,467",175.6,177.6,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975235,2022-04-05,2022-04-05,08:51:31,08:53:00,4153.0,2800000.0,"1,483",157.9,160.7,A,1,A1,descending,Hengelo-Noord,Hengelo,Duitse grens,Hengelo,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
2975289,2022-04-05,2022-04-05,08:55:31,08:57:00,5043.0,3400000.0,"1,483",175.4,178.8,A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,rush hour traffic jam (no cause reported),VWM 1,[000],001,Rush Hour Traffic Jam (No Cause Reported),No Cause Reported,Crowd or Busyness,High Intensity,1
